Attrition,Employee Attrition Status,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-1631,Male,Laboratory Technician,Single,No,3,19,18-25,$303.00 ,2,Bachelor's Degree,2,47,2,1,4,"$1,102.00 ","$9,241.00 ",1,22,4,3,0,1,2,1,0,1,0
No,0,Travel_Rarely,Sales,Marketing,STAFF-1632,Female,Sales Executive,Divorced,No,2,46,46-55,$526.00 ,1,Associates Degree,2,92,3,3,1,"$10,453.00 ","$2,137.00 ",1,25,4,3,3,24,3,24,13,15,7
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1633,Female,Laboratory Technician,Single,No,3,38,36-45,"$1,380.00 ",9,Associates Degree,3,75,3,1,4,"$2,288.00 ","$6,319.00 ",1,12,3,3,0,2,3,2,2,2,1
No,0,Travel_Rarely,R&D,Medical,STAFF-1634,Female,Research Scientist,Married,Yes,0,31,26-35,$140.00 ,12,High School,3,95,3,1,4,"$3,929.00 ","$6,984.00 ",8,23,4,3,1,7,3,4,2,0,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1635,Female,Research Scientist,Single,No,3,34,26-35,$629.00 ,27,Associates Degree,4,95,3,1,2,"$2,311.00 ","$5,711.00 ",2,15,3,4,0,9,3,3,2,1,2
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-1636,Female,Sales Representative,Single,Yes,5,41,36-45,"$1,356.00 ",20,Associates Degree,2,70,3,1,2,"$3,140.00 ","$21,728.00 ",1,22,4,4,0,4,2,4,3,0,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1637,Male,Laboratory Technician,Married,No,2,50,46-55,$328.00 ,1,Bachelor's Degree,3,86,2,1,3,"$3,690.00 ","$3,425.00 ",2,15,3,4,1,5,2,3,2,0,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1638,Female,Manufacturing Director,Divorced,No,3,53,46-55,"$1,084.00 ",13,Associates Degree,4,57,4,2,1,"$4,450.00 ","$26,250.00 ",1,11,3,3,2,5,3,4,2,1,3
No,0,Travel_Rarely,R&D,Medical,STAFF-1639,Female,Research Scientist,Married,No,5,33,26-35,$931.00 ,14,Bachelor's Degree,4,72,3,1,2,"$2,756.00 ","$4,673.00 ",1,13,3,4,1,8,3,8,7,1,6
No,0,Travel_Rarely,R&D,Medical,STAFF-1640,Female,Manager,Married,No,2,40,36-45,$989.00 ,4,High School,4,46,3,5,3,"$19,033.00 ","$6,499.00 ",1,14,3,2,1,21,3,20,8,9,9
No,0,Travel_Rarely,R&D,Medical,STAFF-1641,Male,Research Director,Single,No,3,55,46-55,$692.00 ,14,Master's Degree,3,61,4,5,2,"$18,722.00 ","$13,339.00 ",8,11,3,4,0,36,3,24,15,2,15
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-1642,Male,Manufacturing Director,Married,No,2,34,26-35,"$1,069.00 ",2,High School,4,45,2,2,3,"$9,547.00 ","$14,074.00 ",1,17,3,3,0,10,2,10,9,1,9
No,0,Travel_Rarely,R&D,Medical,STAFF-1643,Female,Healthcare Representative,Single,No,6,51,46-55,$313.00 ,3,Bachelor's Degree,4,98,3,4,2,"$13,734.00 ","$7,192.00 ",3,18,3,3,0,21,3,7,7,1,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1644,Male,Manager,Married,No,5,52,46-55,$699.00 ,1,Master's Degree,3,65,2,5,3,"$19,999.00 ","$5,678.00 ",0,14,3,1,1,34,3,33,18,11,9
No,0,Travel_Rarely,R&D,Medical,STAFF-1645,Female,Research Scientist,Single,No,2,27,26-35,$894.00 ,9,Bachelor's Degree,4,99,3,1,2,"$2,279.00 ","$11,781.00 ",1,16,3,4,0,7,2,7,7,0,3
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-1646,Male,Manufacturing Director,Married,Yes,1,35,26-35,$556.00 ,23,Associates Degree,2,50,2,2,3,"$5,916.00 ","$15,497.00 ",3,13,3,1,0,8,3,1,0,0,1
No,0,Non-Travel,R&D,Medical,STAFF-1647,Male,Research Scientist,Divorced,No,3,43,36-45,"$1,344.00 ",7,Bachelor's Degree,4,37,4,1,4,"$2,089.00 ","$5,228.00 ",4,14,3,4,3,7,4,5,4,2,2
No,0,Non-Travel,R&D,Medical,STAFF-1648,Male,Manager,Married,No,1,45,36-45,"$1,195.00 ",2,Associates Degree,1,65,2,4,4,"$16,792.00 ","$20,462.00 ",9,23,4,4,1,22,3,20,8,11,8
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1649,Male,Research Scientist,Married,Yes,3,37,36-45,$290.00 ,21,Bachelor's Degree,2,65,4,1,1,"$3,564.00 ","$22,977.00 ",1,12,3,1,1,8,2,8,7,1,7
No,0,Travel_Frequently,R&D,Medical,STAFF-1650,Female,Laboratory Technician,Single,No,5,35,26-35,$138.00 ,2,Bachelor's Degree,2,37,3,2,2,"$4,425.00 ","$15,986.00 ",5,11,3,4,0,10,3,6,2,1,2
No,0,Non-Travel,R&D,Medical,STAFF-1651,Female,Manufacturing Director,Divorced,No,5,42,36-45,$926.00 ,21,Associates Degree,3,36,3,2,3,"$5,265.00 ","$16,439.00 ",2,16,3,2,1,11,3,5,3,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1652,Male,Manufacturing Director,Married,No,3,38,36-45,"$1,261.00 ",2,Master's Degree,4,88,3,2,3,"$6,553.00 ","$7,259.00 ",9,14,3,2,0,14,3,1,0,0,0
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-1653,Male,Manufacturing Director,Married,No,3,38,36-45,"$1,084.00 ",29,Bachelor's Degree,4,54,3,2,4,"$6,261.00 ","$4,185.00 ",3,18,3,1,1,9,1,7,7,1,7
No,0,Travel_Frequently,R&D,Technical Degree,STAFF-1654,Male,Manufacturing Director,Married,No,1,27,26-35,$472.00 ,1,High School,3,60,2,2,1,"$4,298.00 ","$9,679.00 ",5,19,3,3,1,6,3,2,2,2,0
No,0,Non-Travel,R&D,Life Sciences,STAFF-1655,Male,Manufacturing Director,Divorced,Yes,0,49,46-55,"$1,002.00 ",18,Master's Degree,4,92,3,2,4,"$6,804.00 ","$23,793.00 ",1,15,3,1,2,7,3,7,7,1,7
No,0,Travel_Frequently,R&D,Medical,STAFF-1656,Male,Research Scientist,Divorced,Yes,4,34,26-35,$878.00 ,10,Master's Degree,4,43,3,1,3,"$3,815.00 ","$5,972.00 ",1,17,3,4,1,5,4,5,3,2,0
No,0,Travel_Rarely,R&D,Medical,STAFF-1657,Male,Laboratory Technician,Married,Yes,2,40,36-45,$905.00 ,19,Associates Degree,3,99,3,2,4,"$2,741.00 ","$16,523.00 ",8,15,3,3,1,15,4,7,2,3,7
Yes,1,Travel_Rarely,R&D,Medical,STAFF-1658,Male,Healthcare Representative,Married,Yes,2,38,36-45,"$1,180.00 ",29,High School,2,70,3,2,1,"$6,673.00 ","$11,354.00 ",7,19,3,2,0,17,3,1,0,0,0
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-1659,Female,Sales Executive,Married,No,3,29,26-35,$121.00 ,27,Bachelor's Degree,2,35,3,3,4,"$7,639.00 ","$24,525.00 ",1,22,4,4,3,10,2,10,4,1,9
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1660,Male,Research Scientist,Divorced,Yes,2,22,18-25,"$1,136.00 ",5,Bachelor's Degree,4,60,4,1,2,"$2,328.00 ","$12,392.00 ",1,16,3,1,1,4,2,4,2,2,2
No,0,Travel_Frequently,R&D,Medical,STAFF-1661,Female,Laboratory Technician,Single,No,2,36,36-45,$635.00 ,18,High School,2,73,3,1,4,"$2,153.00 ","$7,703.00 ",1,13,3,1,0,8,3,8,1,1,7
No,0,Non-Travel,R&D,Life Sciences,STAFF-1662,Male,Healthcare Representative,Married,No,5,40,36-45,"$1,151.00 ",9,Doctoral Degree,4,63,2,2,4,"$4,876.00 ","$14,242.00 ",9,14,3,4,1,5,1,3,2,0,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1663,Male,Healthcare Representative,Divorced,No,3,46,46-55,$644.00 ,1,Master's Degree,4,97,3,3,1,"$9,396.00 ","$12,368.00 ",7,16,3,3,1,17,3,4,2,0,3
Yes,1,Travel_Rarely,Sales,Medical,STAFF-1664,Male,Sales Executive,Married,No,2,32,26-35,"$1,045.00 ",4,Master's Degree,4,32,1,3,4,"$10,400.00 ","$25,812.00 ",1,11,3,3,0,14,2,14,8,9,8
No,0,Non-Travel,R&D,Life Sciences,STAFF-1665,Male,Manufacturing Director,Single,No,2,30,26-35,$829.00 ,1,High School,3,88,2,3,3,"$8,474.00 ","$20,925.00 ",1,22,4,3,0,12,3,11,8,5,8
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-1666,Female,Sales Executive,Single,No,2,27,26-35,"$1,242.00 ",20,Bachelor's Degree,4,90,3,2,3,"$9,981.00 ","$12,916.00 ",1,14,3,4,0,7,3,7,7,0,7
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1667,Male,Research Director,Married,No,5,51,46-55,"$1,469.00 ",8,Master's Degree,2,81,2,3,2,"$12,490.00 ","$15,736.00 ",5,16,3,4,2,16,1,10,9,4,7
Yes,1,Travel_Rarely,R&D,Technical Degree,STAFF-1668,Female,Research Scientist,Single,Yes,5,30,26-35,"$1,005.00 ",3,Bachelor's Degree,4,88,3,1,1,"$2,657.00 ","$8,556.00 ",5,11,3,3,0,8,3,5,2,0,4
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-1669,Female,Manager,Single,Yes,3,41,36-45,$896.00 ,6,Bachelor's Degree,4,75,3,3,4,"$13,591.00 ","$14,674.00 ",3,18,3,3,0,16,3,1,0,0,0
Yes,1,Travel_Frequently,Sales,Marketing,STAFF-1670,Female,Sales Executive,Single,No,5,30,26-35,$334.00 ,26,Master's Degree,3,52,2,2,1,"$6,696.00 ","$22,967.00 ",5,15,3,3,0,9,2,6,3,0,1
Yes,1,Travel_Rarely,R&D,Technical Degree,STAFF-1671,Male,Research Scientist,Single,No,1,29,26-35,$992.00 ,1,Bachelor's Degree,3,85,3,1,3,"$2,058.00 ","$19,757.00 ",0,14,3,4,0,7,2,6,2,1,5
No,0,Non-Travel,Sales,Medical,STAFF-1672,Female,Sales Executive,Single,No,2,45,36-45,"$1,052.00 ",6,Bachelor's Degree,4,57,2,3,4,"$8,865.00 ","$16,840.00 ",6,12,3,4,0,23,3,19,7,12,8
No,0,Travel_Rarely,Sales,Marketing,STAFF-1673,Female,Sales Executive,Married,No,4,54,46-55,"$1,147.00 ",3,Bachelor's Degree,4,52,3,2,1,"$5,940.00 ","$17,011.00 ",2,14,3,4,1,16,3,6,2,0,5
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1674,Male,Laboratory Technician,Single,No,3,36,36-45,"$1,396.00 ",5,Associates Degree,4,62,3,2,2,"$5,914.00 ","$9,945.00 ",8,16,3,4,0,16,4,13,11,3,7
No,0,Travel_Rarely,R&D,Medical,STAFF-1675,Female,Research Scientist,Married,No,3,33,26-35,$147.00 ,4,Master's Degree,3,47,2,1,2,"$2,622.00 ","$13,248.00 ",6,21,4,4,0,7,3,3,2,1,1
No,0,Travel_Frequently,R&D,Other,STAFF-1676,Male,Research Director,Divorced,Yes,1,37,36-45,$663.00 ,11,Bachelor's Degree,2,47,3,3,4,"$12,185.00 ","$10,056.00 ",1,14,3,3,3,10,3,10,8,0,7
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-1677,Male,Sales Executive,Divorced,No,6,38,36-45,$119.00 ,3,Bachelor's Degree,1,76,3,3,3,"$10,609.00 ","$9,647.00 ",0,12,3,3,2,17,2,16,10,5,13
No,0,Non-Travel,R&D,Medical,STAFF-1678,Male,Manufacturing Director,Married,No,2,31,26-35,$979.00 ,1,Master's Degree,3,90,1,2,3,"$4,345.00 ","$4,381.00 ",0,12,3,4,1,6,3,5,4,1,4
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1679,Male,Research Scientist,Married,No,6,59,56-65,$142.00 ,3,Bachelor's Degree,3,70,2,1,4,"$2,177.00 ","$8,456.00 ",3,17,3,1,1,7,3,1,0,0,0
No,0,Travel_Frequently,Sales,Marketing,STAFF-1680,Male,Sales Representative,Divorced,No,2,37,36-45,$319.00 ,4,Master's Degree,1,41,3,1,4,"$2,793.00 ","$2,539.00 ",4,17,3,3,1,13,3,9,8,5,8
No,0,Travel_Frequently,Sales,Medical,STAFF-1681,Female,Sales Executive,Married,No,5,29,26-35,"$1,413.00 ",1,High School,2,42,3,3,4,"$7,918.00 ","$6,599.00 ",1,14,3,4,1,11,3,11,10,4,1
No,0,Travel_Frequently,Sales,Marketing,STAFF-1682,Female,Sales Executive,Single,No,3,35,26-35,$944.00 ,1,Bachelor's Degree,3,92,3,3,3,"$8,789.00 ","$9,096.00 ",1,14,3,1,0,10,4,10,7,0,8
Yes,1,Travel_Rarely,R&D,Medical,STAFF-1683,Male,Research Scientist,Single,Yes,3,29,26-35,$896.00 ,18,High School,3,86,2,1,4,"$2,389.00 ","$14,961.00 ",1,13,3,3,0,4,2,4,3,0,1
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1684,Female,Laboratory Technician,Single,No,3,52,46-55,"$1,323.00 ",2,Bachelor's Degree,3,89,2,1,4,"$3,212.00 ","$3,300.00 ",7,15,3,2,0,6,2,2,2,2,2
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-1685,Male,Manager,Married,No,3,42,36-45,$532.00 ,4,Associates Degree,3,58,3,5,4,"$19,232.00 ","$4,933.00 ",1,11,3,4,0,22,3,22,17,11,15
No,0,Travel_Rarely,HR,Medical,STAFF-1686,Male,Human Resources,Married,No,2,59,56-65,$818.00 ,6,Associates Degree,2,52,3,1,3,"$2,267.00 ","$25,657.00 ",8,17,3,4,0,7,2,2,2,2,2
No,0,Travel_Rarely,Sales,Medical,STAFF-1687,Female,Manager,Divorced,No,3,50,46-55,$854.00 ,1,Master's Degree,4,68,3,5,4,"$19,517.00 ","$24,118.00 ",3,11,3,3,1,32,2,7,0,0,6
Yes,1,Travel_Rarely,R&D,Medical,STAFF-1688,Male,Laboratory Technician,Married,Yes,2,33,26-35,$813.00 ,14,Bachelor's Degree,3,58,3,1,4,"$2,436.00 ","$22,149.00 ",5,13,3,3,1,8,1,5,4,0,4
No,0,Travel_Rarely,Sales,Marketing,STAFF-1689,Female,Manager,Married,Yes,3,43,36-45,"$1,034.00 ",16,Bachelor's Degree,4,80,3,4,4,"$16,064.00 ","$7,744.00 ",5,22,4,3,1,22,3,17,13,1,9
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-1690,Female,Laboratory Technician,Married,No,3,33,26-35,$465.00 ,2,Associates Degree,1,39,3,1,1,"$2,707.00 ","$21,509.00 ",7,20,4,1,0,13,4,9,7,1,7
No,0,Non-Travel,Sales,Life Sciences,STAFF-1691,Male,Manager,Single,Yes,2,52,46-55,$771.00 ,2,Master's Degree,1,79,2,5,3,"$19,068.00 ","$21,030.00 ",1,18,3,4,0,33,4,33,7,15,12
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-1692,Female,Sales Representative,Married,No,5,32,26-35,"$1,401.00 ",4,Associates Degree,3,56,3,1,2,"$3,931.00 ","$20,990.00 ",2,11,3,1,1,6,3,4,3,1,2
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-1693,Male,Laboratory Technician,Single,Yes,2,32,26-35,$515.00 ,1,Bachelor's Degree,4,62,2,1,3,"$3,730.00 ","$9,571.00 ",0,14,3,4,0,4,1,3,2,1,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1694,Female,Laboratory Technician,Divorced,No,1,39,36-45,"$1,431.00 ",1,Master's Degree,3,96,3,1,3,"$2,232.00 ","$15,417.00 ",7,14,3,3,3,7,3,3,2,1,2
No,0,Non-Travel,Sales,Marketing,STAFF-1695,Male,Sales Executive,Married,No,2,32,26-35,$976.00 ,26,Master's Degree,3,100,3,2,4,"$4,465.00 ","$12,069.00 ",0,18,3,1,0,4,3,3,2,2,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1696,Male,Research Scientist,Divorced,No,2,41,36-45,"$1,411.00 ",19,Associates Degree,3,36,3,2,1,"$3,072.00 ","$19,877.00 ",2,16,3,1,2,17,2,1,0,0,0
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-1697,Male,Research Scientist,Divorced,No,3,40,36-45,"$1,300.00 ",24,Associates Degree,1,62,3,2,4,"$3,319.00 ","$24,447.00 ",1,17,3,1,2,9,3,9,8,4,7
No,0,Travel_Rarely,R&D,Other,STAFF-1698,Male,Manager,Married,No,2,45,36-45,$252.00 ,1,Bachelor's Degree,3,70,4,5,4,"$19,202.00 ","$15,970.00 ",0,11,3,3,1,25,3,24,0,1,7
No,0,Travel_Frequently,R&D,Medical,STAFF-1699,Male,Research Director,Divorced,No,3,31,26-35,"$1,327.00 ",3,Master's Degree,2,73,3,3,3,"$13,675.00 ","$13,523.00 ",9,12,3,1,1,9,3,2,2,2,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1700,Female,Research Scientist,Married,No,2,33,26-35,$832.00 ,5,Master's Degree,3,63,2,1,4,"$2,911.00 ","$14,776.00 ",1,13,3,3,1,2,2,2,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1701,Male,Manufacturing Director,Married,No,3,34,26-35,$470.00 ,2,Master's Degree,4,84,2,2,1,"$5,957.00 ","$23,687.00 ",6,13,3,2,1,13,3,11,9,5,9
No,0,Travel_Rarely,R&D,Medical,STAFF-1702,Female,Research Scientist,Married,No,2,37,36-45,"$1,017.00 ",1,Associates Degree,3,83,2,1,1,"$3,920.00 ","$18,697.00 ",2,14,3,1,1,17,2,3,1,0,2
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-1703,Male,Manufacturing Director,Married,No,1,45,36-45,"$1,199.00 ",7,Master's Degree,1,77,4,2,3,"$6,434.00 ","$5,118.00 ",4,17,3,4,1,9,3,3,2,0,2
Yes,1,Travel_Frequently,R&D,Medical,STAFF-1704,Male,Manufacturing Director,Divorced,No,5,37,36-45,$504.00 ,10,Bachelor's Degree,1,61,3,3,3,"$10,048.00 ","$22,573.00 ",6,11,3,2,2,17,3,1,0,0,0
No,0,Travel_Frequently,R&D,Technical Degree,STAFF-1705,Female,Healthcare Representative,Single,No,1,39,36-45,$505.00 ,2,Master's Degree,3,64,3,3,3,"$10,938.00 ","$6,420.00 ",0,25,4,4,0,20,3,19,6,11,8
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1706,Male,Research Scientist,Single,No,1,29,26-35,$665.00 ,15,Bachelor's Degree,3,60,3,1,4,"$2,340.00 ","$22,673.00 ",1,19,3,1,0,6,3,6,5,1,5
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1707,Female,Research Scientist,Single,Yes,1,42,36-45,$916.00 ,17,Associates Degree,4,82,4,2,1,"$6,545.00 ","$23,016.00 ",3,13,3,3,0,10,3,3,2,0,2
No,0,Travel_Rarely,Sales,Marketing,STAFF-1708,Male,Sales Executive,Divorced,No,2,29,26-35,"$1,247.00 ",20,Associates Degree,4,45,3,2,4,"$6,931.00 ","$10,732.00 ",2,14,3,4,1,10,3,3,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1709,Female,Manufacturing Director,Married,No,3,25,18-25,$685.00 ,1,Bachelor's Degree,1,62,3,2,3,"$4,898.00 ","$7,505.00 ",0,12,3,4,2,5,3,4,2,1,2
No,0,Travel_Rarely,R&D,Medical,STAFF-1710,Female,Laboratory Technician,Divorced,Yes,4,42,36-45,$269.00 ,2,Bachelor's Degree,4,56,2,1,1,"$2,593.00 ","$8,007.00 ",0,11,3,3,1,10,3,9,6,7,8
No,0,Travel_Rarely,R&D,Medical,STAFF-1711,Male,Research Director,Divorced,No,5,40,36-45,"$1,416.00 ",2,Associates Degree,1,49,3,5,3,"$19,436.00 ","$5,949.00 ",0,19,3,4,1,22,3,21,7,3,9
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1712,Male,Research Scientist,Married,No,0,51,46-55,$833.00 ,1,Bachelor's Degree,3,96,3,1,4,"$2,723.00 ","$23,231.00 ",1,11,3,2,0,1,2,1,0,0,0
Yes,1,Travel_Frequently,R&D,Medical,STAFF-1713,Male,Laboratory Technician,Single,No,2,31,26-35,$307.00 ,29,Associates Degree,3,71,2,1,2,"$3,479.00 ","$11,652.00 ",0,11,3,2,0,6,4,5,4,1,4
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-1714,Male,Laboratory Technician,Married,No,3,32,26-35,"$1,311.00 ",7,Bachelor's Degree,2,100,4,1,2,"$2,794.00 ","$26,062.00 ",1,20,4,3,0,5,1,5,1,0,3
No,0,Non-Travel,Sales,Life Sciences,STAFF-1715,Male,Sales Executive,Married,No,0,38,36-45,"$1,327.00 ",2,Associates Degree,4,39,2,2,4,"$5,249.00 ","$19,682.00 ",3,18,3,4,1,13,3,8,7,7,5
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-1716,Male,Laboratory Technician,Single,No,5,32,26-35,$128.00 ,2,High School,4,84,2,2,1,"$2,176.00 ","$19,737.00 ",4,13,3,4,0,9,3,6,2,0,4
No,0,Travel_Rarely,Sales,Technical Degree,STAFF-1717,Female,Manager,Married,Yes,2,46,46-55,$488.00 ,2,Bachelor's Degree,3,75,1,4,2,"$16,872.00 ","$14,977.00 ",3,12,3,2,1,28,2,7,7,7,7
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-1718,Male,Laboratory Technician,Single,No,5,28,26-35,$529.00 ,2,Master's Degree,1,79,3,1,3,"$3,485.00 ","$14,935.00 ",2,11,3,3,0,5,1,0,0,0,0
No,0,Travel_Rarely,Sales,Medical,STAFF-1719,Male,Sales Executive,Married,No,2,29,26-35,"$1,210.00 ",2,Bachelor's Degree,1,78,2,2,2,"$6,644.00 ","$3,687.00 ",2,19,3,2,2,10,3,0,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-1720,Male,Healthcare Representative,Married,No,2,31,26-35,"$1,463.00 ",23,Bachelor's Degree,2,64,2,2,4,"$5,582.00 ","$14,408.00 ",0,21,4,2,1,10,3,9,0,7,8
No,0,Non-Travel,R&D,Life Sciences,STAFF-1721,Male,Healthcare Representative,Divorced,No,2,25,18-25,$675.00 ,5,Associates Degree,2,85,4,2,1,"$4,000.00 ","$18,384.00 ",1,12,3,4,2,6,3,6,3,1,5
No,0,Travel_Rarely,R&D,Medical,STAFF-1722,Male,Healthcare Representative,Married,Yes,2,45,36-45,"$1,385.00 ",20,Associates Degree,3,79,3,4,4,"$13,496.00 ","$7,501.00 ",0,14,3,2,0,21,3,20,7,4,10
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1723,Male,Laboratory Technician,Married,No,4,36,36-45,"$1,403.00 ",6,Bachelor's Degree,4,47,3,1,4,"$3,210.00 ","$20,251.00 ",0,11,3,3,1,16,3,15,13,10,11
No,0,Travel_Rarely,R&D,Medical,STAFF-1724,Male,Manager,Single,Yes,2,55,46-55,$452.00 ,1,Bachelor's Degree,4,81,3,5,1,"$19,045.00 ","$18,938.00 ",0,14,3,3,0,37,3,36,10,4,13
Yes,1,Non-Travel,R&D,Life Sciences,STAFF-1725,Male,Manager,Married,Yes,2,47,46-55,$666.00 ,29,Master's Degree,1,88,3,3,2,"$11,849.00 ","$10,268.00 ",1,12,3,4,1,10,2,10,7,9,9
No,0,Travel_Rarely,R&D,Medical,STAFF-1726,Male,Research Scientist,Married,No,3,28,26-35,"$1,158.00 ",9,Bachelor's Degree,4,94,3,1,4,"$2,070.00 ","$2,613.00 ",1,23,4,4,1,5,2,5,2,0,4
No,0,Travel_Rarely,Sales,Medical,STAFF-1727,Male,Sales Executive,Married,No,5,37,36-45,$228.00 ,6,Master's Degree,3,98,3,2,4,"$6,502.00 ","$22,825.00 ",4,14,3,2,1,7,4,5,4,0,1
No,0,Travel_Rarely,R&D,Medical,STAFF-1728,Male,Research Scientist,Single,No,4,21,18-25,$996.00 ,3,Associates Degree,4,100,2,1,3,"$3,230.00 ","$10,531.00 ",1,17,3,1,0,3,4,3,2,1,0
No,0,Non-Travel,R&D,Medical,STAFF-1729,Female,Research Director,Divorced,Yes,2,37,36-45,$728.00 ,1,Master's Degree,1,80,3,3,4,"$13,603.00 ","$11,677.00 ",2,18,3,1,2,15,3,5,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1730,Female,Manager,Divorced,No,6,35,26-35,"$1,315.00 ",22,Bachelor's Degree,2,71,4,3,2,"$11,996.00 ","$19,100.00 ",7,18,3,2,1,10,2,7,7,6,2
No,0,Travel_Rarely,Sales,Medical,STAFF-1731,Female,Sales Executive,Divorced,Yes,3,38,36-45,$322.00 ,7,Associates Degree,1,44,4,2,1,"$5,605.00 ","$19,191.00 ",1,24,4,3,1,8,3,8,0,7,7
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-1732,Female,Manufacturing Director,Divorced,No,6,26,26-35,"$1,479.00 ",1,Bachelor's Degree,3,84,3,2,2,"$6,397.00 ","$26,767.00 ",1,20,4,1,1,6,1,6,5,1,4
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1733,Male,Research Director,Divorced,No,4,50,46-55,$797.00 ,4,High School,1,96,3,5,2,"$19,144.00 ","$15,815.00 ",3,14,3,1,2,28,2,10,4,1,6
No,0,Travel_Rarely,R&D,Medical,STAFF-1734,Male,Research Director,Married,Yes,5,53,46-55,"$1,070.00 ",3,Master's Degree,3,45,3,4,3,"$17,584.00 ","$21,016.00 ",3,16,3,4,3,21,2,5,3,1,3
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-1735,Male,Sales Executive,Married,No,3,42,36-45,$635.00 ,1,High School,2,99,3,2,3,"$4,907.00 ","$24,532.00 ",1,25,4,3,0,20,3,20,16,11,6
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-1736,Male,Sales Executive,Single,No,3,29,26-35,$442.00 ,2,Associates Degree,2,44,3,2,4,"$4,554.00 ","$20,260.00 ",1,18,3,1,0,10,2,10,7,0,9
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-1737,Male,Laboratory Technician,Married,Yes,4,55,46-55,$147.00 ,20,Associates Degree,2,37,3,2,4,"$5,415.00 ","$15,972.00 ",3,19,3,4,1,12,3,10,7,0,8
No,0,Travel_Frequently,R&D,Medical,STAFF-1738,Male,Healthcare Representative,Married,Yes,3,26,26-35,$496.00 ,11,Associates Degree,1,60,3,2,1,"$4,741.00 ","$22,722.00 ",1,13,3,3,1,5,3,5,3,3,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1739,Female,Research Scientist,Single,No,3,37,36-45,"$1,372.00 ",1,Bachelor's Degree,4,42,3,1,4,"$2,115.00 ","$15,881.00 ",1,12,3,2,0,17,3,17,12,5,7
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-1740,Male,Laboratory Technician,Divorced,Yes,0,44,36-45,$920.00 ,24,Bachelor's Degree,4,43,3,1,3,"$3,161.00 ","$19,920.00 ",3,22,4,4,1,19,1,1,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-1741,Male,Healthcare Representative,Divorced,No,2,38,36-45,$688.00 ,23,Master's Degree,4,82,3,2,4,"$5,745.00 ","$18,899.00 ",9,14,3,2,1,10,3,2,2,1,2
